,X,Y,Z,C,LINE,L,R
0,-1000.0,-1000.0,-100.0,3157.570993680978,L_00,1,0
1,-1000.0,-1000.0,-96.55172413793103,3175.1424895137275,L_00,1,0
2,-1000.0,-1000.0,-93.10344827586206,3039.5837650592666,L_00,1,0
3,-1000.0,-1000.0,-89.65517241379311,3168.246102833008,L_00,1,0
4,-1000.0,-1000.0,-86.20689655172414,2937.2452867256543,L_00,1,0
5,-1000.0,-1000.0,-82.75862068965517,2631.656935361228,L_00,1,0
6,-1000.0,-1000.0,-79.3103448275862,2578.5852321212246,L_00,1,0
7,-1000.0,-1000.0,-75.86206896551724,2568.0780621682893,L_00,1,0
8,-1000.0,-1000.0,-72.41379310344828,2517.9993310680316,L_00,1,0
9,-1000.0,-1000.0,-68.96551724137932,2479.5834423252227,L_00,1,0
10,-1000.0,-1000.0,-65.51724137931035,2355.6645837369883,L_00,1,0
11,-1000.0,-1000.0,-62.06896551724138,2168.641387070687,L_00,1,0
12,-1000.0,-1000.0,-58.62068965517241,2464.303936392267,L_00,1,0
13,-1000.0,-1000.0,-55.17241379310345,2398.657124764187,L_00,1,0
14,-1000.0,-1000.0,-51.724137931034484,1834.442782809364,L_00,1,0
15,-1000.0,-1000.0,-48.27586206896552,1628.006418963855,L_00,1,0
16,-1000.0,-1000.0,-44.827586206896555,1612.6066629934153,L_00,1,0
17,-1000.0,-1000.0,-41.37931034482759,1896.979029305128,L_00,1,0
18,-1000.0,-1000.0,-37.931034482758626,1854.7809236440012,L_00,1,0
19,-1000.0,-1000.0,-34.482758620689665,1628.6023463046286,L_00,1,0
20,-1000.0,-1000.0,-31.034482758620697,1604.6141480318013,L_00,1,0
21,-1000.0,-1000.0,-27.58620689655173,821.4728156556637,L_00,0,0
22,-1000.0,-1000.0,-24.13793103448276,817.3113996600916,L_00,0,0
23,-1000.0,-1000.0,-20.689655172413794,630.504037344129,L_00,0,0
24,-1000.0,-1000.0,-17.241379310344826,215.7494968435811,L_00,0,0
25,-1000.0,-1000.0,-13.793103448275872,584.0107602623718,L_00,0,0
26,-1000.0,-1000.0,-10.344827586206904,407.7555612052681,L_00,0,0
27,-1000.0,-1000.0,-6.896551724137936,175.11428354395014,L_00,0,0
28,-1000.0,-1000.0,-3.448275862068968,88.09870648705845,L_00,0,0
29,-1000.0,-1000.0,0.0,508.32873773656485,L_00,0,0
30,-1000.0,-979.7979797979798,-100.0,3269.397125298289,L_00,1,0
31,-1000.0,-979.7979797979798,-96.55172413793103,3123.7756038435377,L_00,1,0
32,-1000.0,-979.7979797979798,-93.10344827586206,3344.8580174690105,L_00,1,0
33,-1000.0,-979.7979797979798,-89.65517241379311,3224.404431963016,L_00,1,0
34,-1000.0,-979.7979797979798,-86.20689655172414,2884.391665105651,L_00,1,0
35,-1000.0,-979.7979797979798,-82.75862068965517,2756.7128890034464,L_00,1,0
36,-1000.0,-979.7979797979798,-79.3103448275862,3195.1697703154277,L_00,1,0
37,-1000.0,-979.7979797979798,-75.86206896551724,2497.093685912914,L_00,1,0
38,-1000.0,-979.7979797979798,-72.41379310344828,2465.1492027482595,L_00,1,0
39,-1000.0,-979.7979797979798,-68.96551724137932,2752.2564670221013,L_00,1,0
40,-1000.0,-979.7979797979798,-65.51724137931035,2514.406019578831,L_00,1,0
41,-1000.0,-979.7979797979798,-62.06896551724138,2344.362482020262,L_00,1,0
42,-1000.0,-979.7979797979798,-58.62068965517241,2102.10760994093,L_00,1,0
43,-1000.0,-979.7979797979798,-55.17241379310345,1777.831154447629,L_00,1,0
44,-1000.0,-979.7979797979798,-51.724137931034484,1740.903533502149,L_00,1,0
45,-1000.0,-979.7979797979798,-48.27586206896552,2018.1832479135292,L_00,1,0
46,-1000.0,-979.7979797979798,-44.827586206896555,2071.3576807408035,L_00,1,0
47,-1000.0,-979.7979797979798,-41.37931034482759,1938.93083338429,L_00,1,0
48,-1000.0,-979.7979797979798,-37.931034482758626,1397.9782757955854,L_00,1,0
49,-1000.0,-979.7979797979798,-34.482758620689665,1276.1898319055206,L_00,1,0
50,-1000.0,-979.7979797979798,-31.034482758620697,1353.6437433705996,L_00,1,0
51,-1000.0,-979.7979797979798,-27.58620689655173,618.1561934030415,L_00,0,0
52,-1000.0,-979.7979797979798,-24.13793103448276,169.10916232939584,L_00,0,0
53,-1000.0,-979.7979797979798,-20.689655172413794,81.12335670050874,L_00,0,0
54,-1000.0,-979.7979797979798,-17.241379310344826,622.0901242885388,L_00,0,0
55,-1000.0,-979.7979797979798,-13.793103448275872,667.5555760744198,L_00,0,0
56,-1000.0,-979.7979797979798,-10.344827586206904,587.0096859408306,L_00,0,0
57,-1000.0,-979.7979797979798,-6.896551724137936,145.73722322140608,L_00,0,0
58,-1000.0,-979.7979797979798,-3.448275862068968,240.9002627669193,L_00,0,0
59,-1000.0,-979.7979797979798,0.0,399.77367248269564,L_00,0,0
60,-1000.0,-959.5959595959596,-100.0,3624.441971718915,L_00,1,0
61,-1000.0,-959.5959595959596,-96.55172413793103,2994.014799859538,L_00,1,0
62,-1000.0,-959.5959595959596,-93.10344827586206,3005.9527945935642,L_00,1,0
63,-1000.0,-959.5959595959596,-89.65517241379311,2988.9278366799026,L_00,1,0
64,-1000.0,-959.5959595959596,-86.20689655172414,2930.527241238853,L_00,1,0
65,-1000.0,-959.5959595959596,-82.75862068965517,2810.077778196997,L_00,1,0
66,-1000.0,-959.5959595959596,-79.3103448275862,2807.1061636322765,L_00,1,0
67,-1000.0,-959.5959595959596,-75.86206896551724,3024.164027066583,L_00,1,0
68,-1000.0,-959.5959595959596,-72.41379310344828,3075.1234572176645,L_00,1,0
69,-1000.0,-959.5959595959596,-68.96551724137932,2494.055115694381,L_00,1,0
70,-1000.0,-959.5959595959596,-65.51724137931035,2329.6225470633,L_00,1,0
71,-1000.0,-959.5959595959596,-62.06896551724138,2330.036495878129,L_00,1,0
72,-1000.0,-959.5959595959596,-58.62068965517241,1843.500786450721,L_00,1,0
73,-1000.0,-959.5959595959596,-55.17241379310345,2222.486938462949,L_00,1,0
74,-1000.0,-959.5959595959596,-51.724137931034484,2131.5247666383466,L_00,1,0
75,-1000.0,-959.5959595959596,-48.27586206896552,2131.865902031595,L_00,1,0
76,-1000.0,-959.5959595959596,-44.827586206896555,1627.516374658714,L_00,1,0
77,-1000.0,-959.5959595959596,-41.37931034482759,1899.9804147783288,L_00,1,0
78,-1000.0,-959.5959595959596,-37.931034482758626,1778.8736723224242,L_00,1,0
79,-1000.0,-959.5959595959596,-34.482758620689665,1413.8799711086915,L_00,1,0
80,-1000.0,-959.5959595959596,-31.034482758620697,978.3247818979917,L_00,1,0
81,-1000.0,-959.5959595959596,-27.58620689655173,502.73115779327355,L_00,0,0
82,-1000.0,-959.5959595959596,-24.13793103448276,519.9345940252379,L_00,0,0
83,-1000.0,-959.5959595959596,-20.689655172413794,199.62416643195584,L_00,0,0
84,-1000.0,-959.5959595959596,-17.241379310344826,322.36018593225026,L_00,0,0
85,-1000.0,-959.5959595959596,-13.793103448275872,341.94214652350416,L_00,0,0
86,-1000.0,-959.5959595959596,-10.344827586206904,617.7896177001912,L_00,0,0
87,-1000.0,-959.5959595959596,-6.896551724137936,635.8356586060404,L_00,0,0
88,-1000.0,-959.5959595959596,-3.448275862068968,442.5843084691997,L_00,0,0
89,-1000.0,-959.5959595959596,0.0,362.8443115374564,L_00,0,0
90,-1000.0,-939.3939393939394,-100.0,3355.393053162978,L_00,1,0
91,-1000.0,-939.3939393939394,-96.55172413793103,3541.450766241559,L_00,1,0
92,-1000.0,-939.3939393939394,-93.10344827586206,3166.4037061074478,L_00,1,0
93,-1000.0,-939.3939393939394,-89.65517241379311,2890.970321120496,L_00,1,0
94,-1000.0,-939.3939393939394,-86.20689655172414,3275.7956326014037,L_00,1,0
95,-1000.0,-939.3939393939394,-82.75862068965517,2974.1271437511696,L_00,1,0
96,-1000.0,-939.3939393939394,-79.3103448275862,3029.8665694835686,L_00,1,0
97,-1000.0,-939.3939393939394,-75.86206896551724,2771.9304920424624,L_00,1,0
98,-1000.0,-939.3939393939394,-72.41379310344828,2634.680774624021,L_00,1,0
99,-1000.0,-939.3939393939394,-68.96551724137932,2690.1143621278648,L_00,1,0
100,-1000.0,-939.3939393939394,-65.51724137931035,2238.3922056196798,L_00,1,0
101,-1000.0,-939.3939393939394,-62.06896551724138,2020.2389719212774,L_00,1,0
